// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.39 sec)   *****
// Found 2 benchmarks:
//   Md5VsSha256.Sha256: Job-UAIBHC(Toolchain=InProcessEmitToolchain)
//   Md5VsSha256.Md5: Job-UAIBHC(Toolchain=InProcessEmitToolchain)

// **************************
// Benchmark: Md5VsSha256.Sha256: Job-UAIBHC(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.6 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.31603), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UAIBHC(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 256600.00 ns, 256.6000 us/op
WorkloadJitting  1: 1 op, 912500.00 ns, 912.5000 us/op

OverheadJitting  2: 16 op, 800700.00 ns, 50.0438 us/op
WorkloadJitting  2: 16 op, 1836300.00 ns, 114.7687 us/op

WorkloadPilot    1: 16 op, 701700.00 ns, 43.8563 us/op
WorkloadPilot    2: 32 op, 1615200.00 ns, 50.4750 us/op
WorkloadPilot    3: 64 op, 2987500.00 ns, 46.6797 us/op
WorkloadPilot    4: 128 op, 5840100.00 ns, 45.6258 us/op
WorkloadPilot    5: 256 op, 12628800.00 ns, 49.3312 us/op
WorkloadPilot    6: 512 op, 24906600.00 ns, 48.6457 us/op
WorkloadPilot    7: 1024 op, 49288000.00 ns, 48.1328 us/op
WorkloadPilot    8: 2048 op, 97512200.00 ns, 47.6134 us/op
WorkloadPilot    9: 4096 op, 191278600.00 ns, 46.6989 us/op
WorkloadPilot   10: 8192 op, 387191600.00 ns, 47.2646 us/op
WorkloadPilot   11: 16384 op, 765645300.00 ns, 46.7313 us/op

OverheadWarmup   1: 16384 op, 68500.00 ns, 4.1809 ns/op
OverheadWarmup   2: 16384 op, 66100.00 ns, 4.0344 ns/op
OverheadWarmup   3: 16384 op, 64900.00 ns, 3.9612 ns/op
OverheadWarmup   4: 16384 op, 64800.00 ns, 3.9551 ns/op
OverheadWarmup   5: 16384 op, 64900.00 ns, 3.9612 ns/op
OverheadWarmup   6: 16384 op, 64900.00 ns, 3.9612 ns/op
OverheadWarmup   7: 16384 op, 65400.00 ns, 3.9917 ns/op
OverheadWarmup   8: 16384 op, 78900.00 ns, 4.8157 ns/op
OverheadWarmup   9: 16384 op, 64700.00 ns, 3.9490 ns/op

OverheadActual   1: 16384 op, 64800.00 ns, 3.9551 ns/op
OverheadActual   2: 16384 op, 64300.00 ns, 3.9246 ns/op
OverheadActual   3: 16384 op, 64900.00 ns, 3.9612 ns/op
OverheadActual   4: 16384 op, 93300.00 ns, 5.6946 ns/op
OverheadActual   5: 16384 op, 64800.00 ns, 3.9551 ns/op
OverheadActual   6: 16384 op, 64800.00 ns, 3.9551 ns/op
OverheadActual   7: 16384 op, 64800.00 ns, 3.9551 ns/op
OverheadActual   8: 16384 op, 64400.00 ns, 3.9307 ns/op
OverheadActual   9: 16384 op, 64600.00 ns, 3.9429 ns/op
OverheadActual  10: 16384 op, 64800.00 ns, 3.9551 ns/op
OverheadActual  11: 16384 op, 73100.00 ns, 4.4617 ns/op
OverheadActual  12: 16384 op, 84400.00 ns, 5.1514 ns/op
OverheadActual  13: 16384 op, 65100.00 ns, 3.9734 ns/op
OverheadActual  14: 16384 op, 64700.00 ns, 3.9490 ns/op
OverheadActual  15: 16384 op, 64900.00 ns, 3.9612 ns/op

WorkloadWarmup   1: 16384 op, 777706200.00 ns, 47.4674 us/op
WorkloadWarmup   2: 16384 op, 778710700.00 ns, 47.5287 us/op
WorkloadWarmup   3: 16384 op, 769330200.00 ns, 46.9562 us/op
WorkloadWarmup   4: 16384 op, 794065900.00 ns, 48.4659 us/op
WorkloadWarmup   5: 16384 op, 778589900.00 ns, 47.5214 us/op
WorkloadWarmup   6: 16384 op, 766564300.00 ns, 46.7874 us/op

WorkloadActual   1: 16384 op, 773956900.00 ns, 47.2386 us/op
WorkloadActual   2: 16384 op, 810085600.00 ns, 49.4437 us/op
WorkloadActual   3: 16384 op, 771015600.00 ns, 47.0591 us/op
WorkloadActual   4: 16384 op, 782504200.00 ns, 47.7603 us/op
WorkloadActual   5: 16384 op, 765516800.00 ns, 46.7234 us/op
WorkloadActual   6: 16384 op, 755638200.00 ns, 46.1205 us/op
WorkloadActual   7: 16384 op, 779707400.00 ns, 47.5896 us/op
WorkloadActual   8: 16384 op, 778230300.00 ns, 47.4994 us/op
WorkloadActual   9: 16384 op, 867751900.00 ns, 52.9634 us/op
WorkloadActual  10: 16384 op, 771231000.00 ns, 47.0722 us/op
WorkloadActual  11: 16384 op, 762136700.00 ns, 46.5171 us/op
WorkloadActual  12: 16384 op, 783298500.00 ns, 47.8087 us/op
WorkloadActual  13: 16384 op, 779708300.00 ns, 47.5896 us/op
WorkloadActual  14: 16384 op, 771058100.00 ns, 47.0617 us/op
WorkloadActual  15: 16384 op, 772033200.00 ns, 47.1212 us/op

WorkloadResult   1: 16384 op, 773892100.00 ns, 47.2346 us/op
WorkloadResult   2: 16384 op, 770950800.00 ns, 47.0551 us/op
WorkloadResult   3: 16384 op, 782439400.00 ns, 47.7563 us/op
WorkloadResult   4: 16384 op, 765452000.00 ns, 46.7195 us/op
WorkloadResult   5: 16384 op, 755573400.00 ns, 46.1165 us/op
WorkloadResult   6: 16384 op, 779642600.00 ns, 47.5856 us/op
WorkloadResult   7: 16384 op, 778165500.00 ns, 47.4955 us/op
WorkloadResult   8: 16384 op, 771166200.00 ns, 47.0682 us/op
WorkloadResult   9: 16384 op, 762071900.00 ns, 46.5132 us/op
WorkloadResult  10: 16384 op, 783233700.00 ns, 47.8048 us/op
WorkloadResult  11: 16384 op, 779643500.00 ns, 47.5857 us/op
WorkloadResult  12: 16384 op, 770993300.00 ns, 47.0577 us/op
WorkloadResult  13: 16384 op, 771968400.00 ns, 47.1172 us/op


Mean = 47.162 μs, StdErr = 0.138 μs (0.29%), N = 13, StdDev = 0.499 μs
Min = 46.117 μs, Q1 = 47.055 μs, Median = 47.117 μs, Q3 = 47.586 μs, Max = 47.805 μs
IQR = 0.531 μs, LowerFence = 46.259 μs, UpperFence = 48.381 μs
ConfidenceInterval = [46.565 μs; 47.760 μs] (CI 99.9%), Margin = 0.597 μs (1.27% of Mean)
Skewness = -0.52, Kurtosis = 2.22, MValue = 2

// **************************
// Benchmark: Md5VsSha256.Md5: Job-UAIBHC(Toolchain=InProcessEmitToolchain)
